Address, Balance, Type
0x729b9b0e37fff72975812a74edb38855f5123165, "35702537321885605", EOA
0x24d3590163046ef79d485c68d636f576bd99875c, "28809728610976519", EOA
0x64baeb02876aa58078aa25c1c43b7a5492873559, "202880256089500949", EOA
0xa8b4c7f8b3d91b324f815252da74884e68fb4c4c, "61891094434206170", EOA
0x2134c525b8731fc859a6bb98ad05f42a1e754704, "2755520297390913738", EOA
0xaac60f24340f7f3ba791a617dc6504b63bab2e09, "4768891511200023", EOA
0x22b1d4994057a9c4173e9a038e59b9c4e1223f4d, "30697115257382134", EOA
0xc6c46689f8aab76c563d04c19571cc0d483d099f, "206252396144559819", EOA
0x56cfcaa14c2d63fef909e335733de4c6330306a7, "52118490013140641", EOA
0x49e53fb3d5bf1532febad88a1979e33a94844d1d, "14426605828313899", EOA
0x2929f6fedd4897236fb97a059aaa1fe057adeb0e, "229811147789133268", EOA
0x2fcc020f72e5d2edd2a24d04f3dc90d7fdfbd1dd, "55165008894421830", EOA
0xf765f24486ebb671c86a61eba9a0a99d13a605ff, "2924594255071", EOA
0x1008d3fbd618d32583e05371dbfc939ac4073956, "1001301823359244", EOA
0xf7b188d84192e23049da2e659ddc2d79d7c85e1d, "2534906021240682", EOA
0xcc45554aff9390ed0e4f61ef07d0de15ddb44ecf, "9534775474142764", EOA
0x9673bf5fce0fa5316d7b77cabfdeca2bbc554ddb, "9534746561733030", EOA
0xa23ad558b0c07c040ca69a1dc3fa4212e5f82605, "9533537216334277", EOA
0x8e3e8bf78a2fba58a4096707050c307625c64101, "599040391545197995", EOA
0xdc025b5e0afbe6eb1af28c8a5b66e5feee5f20e5, "854753755440344849", EOA
0xf719ae6b7ca7be6b95e09a0bee44e9ae6fbc5b35, "94073606835928672", EOA
0xf7c05db7485e5c707335bd55517a8661d3ef5d46, "1589509544715778", EOA
0x54147b20bba28f0f32f9905dc7d1fb980c862700, "337836059209519452672", EOA
0xd0ce021bceff33ca74c7b26a108fbbef75bc060d, "68000000000000", EOA
0x44d44a37868d027dabac36e6f92e9f570e9fd6b2, "699943398508742122", EOA
0x382ffce2287252f930e1c8dc9328dac5bf282ba1, "7943652345444556", EOA
0x58ea8ae521ea8be593723f1c1502dfb4127f8405, "209669199199839638", EOA
0x5504e7aea0cf0582f7db6fd9c810f3810425a6c2, "9330362223376450", EOA
0x46e1c5574c68418d0bc3378b17b5492f66ac3331, "65305392880384054", EOA
0x546457bbddf5e09929399768ab5a9d588cb0334d, "465121362094816902", EOA
0x137c265e744687bdbc897ff288d2f94c42b62387, "9299021388055561", EOA
0x3b15953d59791b86c709a03819030a4faf601cb5, "92992580574924095", EOA
0x5c3e2c131cb10e4f4c9df581725bee57443d8523, "629793953854527678", EOA
0x88e9c9576608dd84dd96c4a9ad2e7428546678b5, "4770000000000000", EOA
0xad01c20d5886137e056775af56915de824c8fce5, "7067848650227", EOA
0xd45965998c480dd227ee0424e33b0b6af6dd8f46, "43438159157442257", EOA
0x092cff73c77a9de794d25b0088ded0e430733dbb, "37130354195410927", EOA
0x8d713a2906cb5eec7d1f7324d79200052f1d08d6, "9280038249631209", EOA
0xd49c95939293b4a0b66645b3e90e6006bc905353, "18683715639056427", EOA
0xd9ca4a0ea7df6ca19b65cf6729f979c5674737a1, "51", EOA
0xafd65f75ac34bc9c45cd343e2bee7b565b72df07, "1744941327871862", EOA
0x1181c8b632cc2b30f0d66a5bab15c4d9ed5e5ed2, "9228797453488929", EOA
0x56b4a25bad9a9467ddd0a329a3b261b2f8639985, "9206741406983850", EOA
0x25517dd8265d936fee883591b57ab5cd76741ea4, "18447958276970484640", EOA
0x88f5354b08b674e93439a2be83dc1ffa8d849564, "36795860968595162", EOA
0x58287d4dc467b79ad3cd7ef65338150943a18eb5, "67490374589557770", EOA
0x81857dacf824c3b5e7d3b284a5c6243746445e74, "14634913051368965", EOA
0xde551e7dc235d8ffb962ff9ea1bed8c9831a997b, "1162624932445680597", EOA
0xc4851acd8f5162c510737247ecaaef73e895fd74, "27378373170751928", EOA
0x0ac5d342e606c048a03c5fa7efe514f79ee76d2a, "9127721713257574", EOA
0x4be9601477b1417c591f63447282ec6e385ab537, "18189204716486618", EOA
total Supply: "814293240537538091984"
total UsersT: "814293240537538091984"
Current block number: 22720818
